company_name,weight,total_length,start_area,end_area,price
실버퀵,5,100,관악,서초,8
실버퀵,5,100,광진,서초,9
실버퀵,5,100,구로,서초,9
실버퀵,5,100,금천,서초,10
실버퀵,5,100,노원,서초,11
실버퀵,5,100,도봉,서초,11
실버퀵,5,100,동대문,서초,9
실버퀵,5,100,동작,서초,8
실버퀵,5,100,마포,서초,10
실버퀵,5,100,서대문,서초,10
실버퀵,5,100,서초,서초,6
실버퀵,5,100,성동,서초,9
실버퀵,5,100,성북,서초,10
실버퀵,5,100,송파,서초,9
실버퀵,5,100,양천,서초,11
실버퀵,5,100,영등포,서초,9
실버퀵,5,100,용산,서초,9
실버퀵,5,100,은평,서초,11
실버퀵,5,100,종로,서초,9
실버퀵,5,100,중구,서초,9
실버퀵,5,100,중랑,서초,10
실버퀵,5,100,부천,서초,15
실버퀵,5,100,인천,서초,20
실버퀵,5,100,안양,서초,14
실버퀵,5,100,수원,서초,20
실버퀵,5,100,안산,서초,20
실버퀵,5,100,성남,서초,12
실버퀵,5,100,일산,서초,18
실버퀵,5,100,의정부,서초,18
실버퀵,5,100,강남,성동,9
실버퀵,5,100,강동,성동,9
실버퀵,5,100,강북,성동,8
실버퀵,5,100,강서,성동,11
실버퀵,5,100,관악,성동,10
실버퀵,5,100,광진,성동,9
실버퀵,5,100,구로,성동,10
실버퀵,5,100,금천,성동,11
실버퀵,5,100,노원,성동,9
실버퀵,5,100,도봉,성동,10
실버퀵,5,100,동대문,성동,9
실버퀵,5,100,동작,성동,9
실버퀵,5,100,마포,성동,9
실버퀵,5,100,서대문,성동,9
실버퀵,5,100,서초,성동,9
실버퀵,5,100,성동,성동,6
실버퀵,5,100,성북,성동,8
실버퀵,5,100,송파,성동,9
실버퀵,5,100,양천,성동,11
실버퀵,5,100,영등포,성동,10
실버퀵,5,100,용산,성동,9
실버퀵,5,100,은평,성동,10
실버퀵,5,100,종로,성동,9
실버퀵,5,100,중구,성동,8
실버퀵,5,100,중랑,성동,9
실버퀵,5,100,부천,성동,16
실버퀵,5,100,인천,성동,21
실버퀵,5,100,안양,성동,16
실버퀵,5,100,수원,성동,22
실버퀵,5,100,안산,성동,22
실버퀵,5,100,성남,성동,15
실버퀵,5,100,일산,성동,17
실버퀵,5,100,의정부,성동,15
실버퀵,5,100,강남,성북,10
실버퀵,5,100,강동,성북,10
실버퀵,5,100,강북,성북,8
실버퀵,5,100,강서,성북,11
실버퀵,5,100,관악,성북,10
실버퀵,5,100,광진,성북,10
실버퀵,5,100,구로,성북,10
실버퀵,5,100,금천,성북,11
실버퀵,5,100,노원,성북,8
실버퀵,5,100,도봉,성북,8
